Locality,Zip Code,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Garden,Swimming Pool,Surface of the Land (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Url,Price/m2,Price/m2 Ratio,Price Ratio,Zip Code Score,Type of Property Score,Number of Rooms Score,Livable Space (m2) Score,Surface of the Land (m2) Score,State of the Building Score,Primary Energy Consumption (kWh/m2) Score
Uccle,1180,House,villa,1290000,3,230,1,0,0,0,0,0,2400,0,505,3,https://www.immoweb.be/en/classified/villa/for-sale/uccle/1180/20301622,5608.695652173913,0.023275400332211937,0.39090909090909093,0.3589247822141561,1.0,0.3869261187378436,0.25647850584307175,0.4186926406926407,0.7497975974989369,0.6466165413533835
Sint-genesius-rode,1640,House,house,310000,4,123,1,0,0,0,0,0,477,2,500,2,https://www.immoweb.be/en/classified/house/for-sale/sint-genesius-rode/1640/11386535,2520.3252032520327,0.010459041051784908,0.09393939393939393,0.4183620689655172,1.0,0.5711504895801999,0.13420783846092693,0.1505050505050505,0.7550873775720708,0.297171500179019
Uccle,1180,Apartment,apartment,1195000,4,268,1,0,0,1,0,0,0,4,148,5,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20239176,4458.955223880597,0.018504118307614403,0.3621212121212121,0.3589247822141561,0.5310389297181993,0.5711504895801999,0.27092773670403053,0.11752180671513664,1.0,0.43236424394319134
Zwevegem,8550,House,house,327000,3,125,0,0,0,0,0,0,456,0,0,0,https://www.immoweb.be/en/classified/house/for-sale/zwevegem/8550/10884172,2616.0,0.010856079745647503,0.09909090909090909,0.13179956896551726,1.0,0.3869261187378436,0.1360953735678185,0.12323232323232323,0.7547116896058398,0.2610471689017736
Antwerpen,2060,Apartment,apartment,319000,2,91,1,0,0,1,0,0,0,5,128,5,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/20273097,3505.4945054945056,0.014547373050297213,0.09666666666666666,0.13797898706896553,0.5310389297181993,0.27015323944133907,0.11573836786801531,0.11752180671513664,1.0,0.25463082064134696
Lembeke,9971,House,villa,667000,4,255,1,0,1,0,0,0,8597,3,319,1,https://www.immoweb.be/en/classified/villa/for-sale/lembeke/9971/20322195,2615.6862745098038,0.010854777823269898,0.20212121212121212,0.1547844827586207,1.0,0.5711504895801999,0.29348914858096825,0.20212121212121212,0.9099970571041955,0.2693233082706767
Ciney,5590,House,house,340000,3,136,0,0,0,0,0,0,1153,4,244,5,https://www.immoweb.be/en/classified/house/for-sale/ciney/5590/20053100,2500.0,0.010374693946528577,0.10303030303030303,0.11060344827586208,1.0,0.3869261187378436,0.15367078464106843,0.10303030303030303,1.0,0.2772556390977444
Diegem,1831,House,villa,895000,7,310,1,0,0,0,0,0,1788,3,382,3,https://www.immoweb.be/en/classified/villa/for-sale/diegem/1831/20322653,2887.0967741935483,0.011981098170507196,0.27121212121212124,0.16663793103448277,1.0,1.0,0.40962209743511907,0.27121212121212124,0.7497975974989369,0.24949248120300757
Etterbeek,1040,Apartment,apartment,345000,2,119,1,0,0,1,0,0,0,0,0,0,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20190839,2899.159663865546,0.012031157685890281,0.10454545454545454,0.2357968313140727,0.5310389297181993,0.27015323944133907,0.1391885022045289,0.11752180671513664,0.7547116896058398,0.2610471689017736
Waterloo,1410,House,house,349000,3,128,0,0,0,0,0,0,300,2,363,1,https://www.immoweb.be/en/classified/house/for-sale/waterloo/1410/20138375,2726.5625,0.01131490058543273,0.10575757575757576,0.2558438133874239,1.0,0.3869261187378436,0.15106572970454632,0.2036653110047847,0.9099970571041955,0.17306447938026884
Antwerpen,2100,House,house,329000,2,114,0,0,0,0,0,0,118,4,296,5,https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2100/20309686,2885.964912280702,0.011976401082132989,0.0996969696969697,0.1052333702016916,1.0,0.27015323944133907,0.12335763077351142,0.34357575757575753,1.0,0.46927318295739345
Bredene,8450,House,house,369000,3,147,0,0,0,0,0,0,540,1,511,0,https://www.immoweb.be/en/classified/house/for-sale/bredene/8450/20073724,2510.204081632653,0.010417039636106245,0.11181818181818182,0.11461602982292637,1.0,0.3869261187378436,0.15048792173001513,0.15661616161616163,0.7547116896058398,0.1348370927318296
Blankenberge,8370,Apartment,apartment,335000,3,105,0,0,0,0,0,0,0,6,92,3,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20309682,3190.4761904761904,0.013240085607950754,0.10151515151515152,0.11063914663880181,0.5310389297181993,0.3869261187378436,0.12789364091667932,0.11752180671513664,0.7497975974989369,0.2741241158451685
Zwevegem,8550,House,house,372000,3,125,0,0,0,0,0,0,649,0,0,0,https://www.immoweb.be/en/classified/house/for-sale/zwevegem/8550/10884170,2976.0,0.012350035673947619,0.11272727272727273,0.13179956896551726,1.0,0.3869261187378436,0.1360953735678185,0.12063992424242424,0.7547116896058398,0.2610471689017736
Deurle,9831,House,villa,995000,5,225,0,0,0,0,0,0,1489,6,13,5,https://www.immoweb.be/en/classified/villa/for-sale/deurle/9831/20279576,4422.222222222223,0.01835168084763722,0.3015151515151515,0.6095785440613026,1.0,0.7595340137453207,0.24721754648552183,0.22954545454545455,1.0,0.31967418546365917
Oostende,8400,Apartment,apartment,279000,2,96,1,1,0,1,0,0,0,5,144,3,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20280617,2906.25,0.01206058171283947,0.08454545454545455,0.1313725168665667,0.5310389297181993,0.27015323944133907,0.12271199124978412,0.11752180671513664,0.7497975974989369,0.3620954560313828
Deinze,9800,Apartment,apartment,1600000,3,205,0,0,0,1,0,0,0,0,0,3,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/20328918,7804.878048780488,0.03238928841843068,0.48484848484848486,0.18362651193633953,0.5310389297181993,0.3869261187378436,0.23511891694490816,0.11752180671513664,0.7497975974989369,0.2610471689017736
Blankenberge,8370,Apartment,apartment,189000,1,60,0,0,0,0,0,0,0,4,278,3,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20309666,3150.0,0.013072114372626007,0.057272727272727274,0.11063914663880181,0.5310389297181993,0.18192867130434218,0.07880205970990611,0.11752180671513664,0.7497975974989369,0.20792365529207635
Grimbergen,1851,House,villa,390000,3,143,1,0,0,1,1,0,350,4,214,5,https://www.immoweb.be/en/classified/villa/for-sale/grimbergen/1851/20264409,2727.2727272727275,0.01131784794166754,0.11818181818181818,0.24379310344827587,1.0,0.3869261187378436,0.16447609825900308,0.13484417748917749,1.0,0.31283593599383075
Holsbeek,3220,Apartment,apartment,330000,2,120,0,0,0,1,0,0,0,5,167,5,https://www.immoweb.be/en/classified/apartment/for-sale/holsbeek/3220/20309661,2750.0,0.011412163341181435,0.1,0.1608045977011494,0.5310389297181993,0.27015323944133907,0.1341656055973439,0.11752180671513664,1.0,0.3213137009189641
Grimbergen,1850,House,bungalow,500000,3,100,0,0,0,0,0,0,1017,3,380,0,https://www.immoweb.be/en/classified/bungalow/for-sale/grimbergen/1850/11184315,5000.0,0.020749387893057154,0.15151515151515152,0.2870653346855984,1.0,0.3869261187378436,0.12756153144129104,0.15151515151515152,0.7547116896058398,0.2985320443967061
Ninove,9400,House,house,375000,3,147,1,0,0,0,0,0,622,1,590,3,https://www.immoweb.be/en/classified/house/for-sale/ninove/9400/20139357,2551.0204081632655,0.010586422394416916,0.11363636363636363,0.17138568144499178,1.0,0.3869261187378436,0.15048792173001513,0.20373737373737374,0.7497975974989369,0.21821219715956558
Jambes,5100,Apartment,apartment,199000,1,65,0,0,0,1,0,0,0,6,0,0,https://www.immoweb.be/en/classified/apartment/for-sale/jambes/5100/20309640,3061.5384615384614,0.012705009817594995,0.0603030303030303,0.14853446120689653,0.5310389297181993,0.18192867130434218,0.08482216873083046,0.11752180671513664,0.7547116896058398,0.2610471689017736
Antwerpen,2100,Apartment,apartment,305000,3,93,0,0,0,1,0,0,0,5,113,3,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2100/20291545,3279.569892473118,0.013609813564263294,0.09242424242424242,0.1052333702016916,0.5310389297181993,0.3869261187378436,0.11694996104618809,0.11752180671513664,0.7497975974989369,0.3417352906074711
Grobbendonk,2280,House,villa,549000,4,201,0,0,0,0,0,0,380,0,0,0,https://www.immoweb.be/en/classified/villa/for-sale/grobbendonk/2280/20328866,2731.3432835820895,0.011334740252028236,0.16636363636363635,0.15163009404388714,1.0,0.5711504895801999,0.2275690252985745,0.13447878787878786,0.7547116896058398,0.2610471689017736
Antwerpen,2100,Apartment,apartment,299000,3,93,0,0,0,1,0,0,0,5,145,3,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2100/20291547,3215.05376344086,0.013342079526933524,0.0906060606060606,0.1052333702016916,0.5310389297181993,0.3869261187378436,0.11694996104618809,0.11752180671513664,0.7497975974989369,0.19840948525159055
Overijse,3090,House,house,324000,3,130,0,0,0,0,1,0,315,3,309,0,https://www.immoweb.be/en/classified/house/for-sale/overijse/3090/20291534,2492.3076923076924,0.01034277181130849,0.09818181818181818,0.2949959903769046,1.0,0.3869261187378436,0.14424017028380634,0.19440404040404038,0.7547116896058398,0.2036810776942356
